               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055149,            0.030134,           0.0075879,             0.70229,             0.61329,             0.68047,             0.37457,            0.035847,            0.014176,           0.0021506,            0.070004,           0.0033329,           0.0033329
                   1,            0.043493,            0.027449,           0.0035223,             0.73275,             0.64616,             0.72465,             0.41926,             0.03317,             0.01355,           0.0018598,            0.037804,           0.0044664,           0.0044664
                   2,            0.041267,            0.026729,           0.0031636,             0.74424,             0.66474,             0.74575,              0.4438,             0.03189,            0.013211,           0.0016625,           0.0034044,           0.0033998,           0.0033998
