               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055128,            0.030121,           0.0076137,             0.68452,             0.60486,             0.66439,             0.36565,            0.035893,            0.014333,           0.0022311,            0.070004,           0.0033329,           0.0033329
                   1,             0.04424,            0.027638,           0.0036735,             0.72595,             0.64532,             0.71777,             0.41265,            0.033394,            0.013589,           0.0019176,            0.039839,           0.0065012,           0.0065012
                   2,            0.043875,            0.027529,           0.0035675,             0.73609,             0.65007,             0.72731,             0.42553,            0.032584,            0.013455,           0.0017821,           0.0095091,           0.0095046,           0.0095046
                   3,            0.043018,            0.027332,           0.0034075,             0.74486,             0.66199,             0.74409,             0.44146,             0.03181,            0.013244,           0.0016494,           0.0092575,           0.0092575,           0.0092575
                   4,            0.041785,            0.026762,           0.0031507,             0.75133,              0.6742,              0.7542,              0.4546,            0.031136,            0.013071,           0.0016261,           0.0092575,           0.0092575,           0.0092575
                   5,            0.040954,            0.026402,           0.0030378,             0.75438,             0.67461,             0.75923,             0.46165,            0.030789,            0.012968,           0.0016107,             0.00901,             0.00901,             0.00901
                   6,            0.040489,            0.026242,           0.0029153,              0.7561,             0.67622,             0.76178,             0.46629,            0.030593,             0.01291,           0.0015635,           0.0087625,           0.0087625,           0.0087625
                   7,             0.04011,            0.026058,           0.0028183,             0.75657,             0.67972,              0.7634,             0.46877,            0.030443,            0.012865,           0.0015332,            0.008515,            0.008515,            0.008515
                   8,            0.039692,            0.025879,           0.0027445,               0.758,             0.68051,             0.76505,             0.47106,            0.030327,            0.012829,           0.0015119,           0.0082675,           0.0082675,           0.0082675
                   9,            0.039492,            0.025666,           0.0027057,             0.75821,             0.68385,             0.76701,             0.47361,            0.030204,            0.012793,           0.0014921,             0.00802,             0.00802,             0.00802
                  10,            0.039237,            0.025667,           0.0026892,              0.7591,             0.68424,             0.76785,             0.47566,            0.030098,            0.012761,           0.0014713,           0.0077725,           0.0077725,           0.0077725
                  11,             0.03905,            0.025588,           0.0026492,             0.76104,             0.68389,             0.76924,             0.47784,            0.029995,            0.012727,           0.0014521,            0.007525,            0.007525,            0.007525
                  12,            0.038744,             0.02542,           0.0026114,              0.7609,             0.68588,             0.77056,             0.47947,            0.029908,            0.012698,           0.0014366,           0.0072775,           0.0072775,           0.0072775
                  13,             0.03857,            0.025324,           0.0025303,             0.76139,             0.68754,             0.77189,             0.48151,            0.029823,            0.012672,           0.0014165,             0.00703,             0.00703,             0.00703
                  14,            0.038294,            0.025358,           0.0025155,             0.76319,             0.68853,             0.77408,              0.4838,            0.029737,            0.012644,           0.0014055,           0.0067825,           0.0067825,           0.0067825
                  15,            0.038157,             0.02518,           0.0025006,               0.764,             0.68895,             0.77486,             0.48591,            0.029658,            0.012615,           0.0013816,            0.006535,            0.006535,            0.006535
                  16,            0.037938,            0.025101,           0.0024791,             0.76467,             0.69153,             0.77623,             0.48773,            0.029578,            0.012586,           0.0013559,           0.0062875,           0.0062875,           0.0062875
                  17,            0.037735,            0.024993,            0.002422,             0.76614,             0.69117,             0.77734,             0.48953,            0.029496,            0.012559,           0.0013354,             0.00604,             0.00604,             0.00604
                  18,            0.037676,            0.024877,           0.0023575,             0.76759,             0.69254,             0.77802,             0.49109,            0.029418,            0.012537,           0.0013236,           0.0057925,           0.0057925,           0.0057925
                  19,            0.037362,            0.024876,            0.002337,             0.76792,             0.69487,             0.77963,              0.4923,            0.029337,            0.012513,           0.0013135,            0.005545,            0.005545,            0.005545
                  20,             0.03718,            0.024701,           0.0023274,             0.76403,             0.69744,             0.78044,             0.49344,            0.029269,            0.012487,           0.0013068,           0.0052975,           0.0052975,           0.0052975
                  21,            0.036916,            0.024643,           0.0022749,              0.7697,             0.69657,             0.78186,             0.49513,            0.029208,            0.012463,           0.0013004,             0.00505,             0.00505,             0.00505
                  22,            0.036799,            0.024611,           0.0022178,             0.77114,             0.69639,             0.78252,             0.49652,            0.029151,            0.012439,           0.0012998,           0.0048025,           0.0048025,           0.0048025
                  23,            0.036551,            0.024456,           0.0022357,             0.77103,             0.69866,             0.78355,             0.49762,            0.029098,            0.012422,           0.0012924,            0.004555,            0.004555,            0.004555
                  24,            0.036381,            0.024275,           0.0021693,             0.77317,             0.69848,             0.78373,             0.49862,            0.029053,            0.012408,           0.0012839,           0.0043075,           0.0043075,           0.0043075
                  25,            0.036124,            0.024177,            0.002126,             0.77256,             0.70059,             0.78474,             0.50006,            0.029014,            0.012394,           0.0012788,             0.00406,             0.00406,             0.00406
                  26,            0.035881,            0.024116,           0.0020798,             0.77285,             0.70201,             0.78523,             0.50107,             0.02898,            0.012381,           0.0012737,           0.0038125,           0.0038125,           0.0038125
                  27,            0.035585,            0.023991,           0.0020478,             0.77456,             0.70079,             0.78552,             0.50225,            0.028956,            0.012374,           0.0012785,            0.003565,            0.003565,            0.003565
                  28,            0.035403,            0.023864,           0.0020115,             0.77086,             0.70463,             0.78575,             0.50311,            0.028928,            0.012366,           0.0012833,           0.0033175,           0.0033175,           0.0033175
                  29,            0.035147,             0.02374,           0.0019533,             0.77106,             0.70596,             0.78653,             0.50369,            0.028905,            0.012362,             0.00129,             0.00307,             0.00307,             0.00307
                  30,            0.034833,            0.023637,           0.0019021,             0.77092,              0.7077,             0.78645,             0.50447,            0.028889,            0.012359,           0.0012958,           0.0028225,           0.0028225,           0.0028225
                  31,            0.034533,            0.023501,           0.0018636,             0.77167,             0.70779,             0.78668,             0.50492,            0.028872,            0.012359,            0.001298,            0.002575,            0.002575,            0.002575
                  32,            0.034227,            0.023268,           0.0018231,             0.77269,             0.70645,             0.78648,             0.50547,            0.028863,            0.012362,           0.0013023,           0.0023275,           0.0023275,           0.0023275
                  33,            0.033993,            0.023176,           0.0017842,             0.77088,             0.70747,             0.78617,               0.506,            0.028856,            0.012367,           0.0013019,             0.00208,             0.00208,             0.00208
                  34,            0.033571,            0.022983,           0.0017181,              0.7693,             0.70822,              0.7857,             0.50642,            0.028859,            0.012371,           0.0013005,           0.0018325,           0.0018325,           0.0018325
                  35,            0.033258,            0.022844,            0.001688,             0.76955,             0.70681,             0.78506,             0.50688,            0.028872,             0.01238,           0.0013027,            0.001585,            0.001585,            0.001585
                  36,            0.032776,            0.022611,           0.0016067,             0.76983,             0.70644,             0.78468,             0.50681,            0.028883,            0.012395,           0.0013065,           0.0013375,           0.0013375,           0.0013375
                  37,            0.032469,            0.022366,           0.0015639,             0.76671,             0.70845,             0.78402,             0.50689,            0.028903,            0.012407,           0.0013113,             0.00109,             0.00109,             0.00109
                  38,            0.031947,            0.022095,           0.0015111,              0.7652,             0.70869,             0.78358,             0.50667,            0.028935,            0.012426,           0.0013125,           0.0008425,           0.0008425,           0.0008425
                  39,            0.031464,            0.021839,           0.0014467,             0.76168,             0.71249,             0.78289,             0.50626,            0.028975,            0.012449,           0.0013224,            0.000595,            0.000595,            0.000595
