               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051074,            0.029081,           0.0064336,             0.72596,             0.64297,             0.71876,             0.41739,            0.033316,            0.013669,           0.0020872,            0.070004,           0.0033329,           0.0033329
                   1,            0.041067,            0.026447,           0.0032145,             0.75361,             0.67575,             0.75789,             0.45915,            0.031077,            0.013009,           0.0016302,            0.038354,           0.0050163,           0.0050163
                   2,            0.039851,            0.026075,           0.0030069,             0.76682,             0.68799,             0.77402,             0.48037,            0.030152,            0.012771,           0.0015376,           0.0050543,           0.0050498,           0.0050498
                   3,            0.037553,            0.025224,           0.0026087,             0.76819,             0.70324,             0.78728,             0.49926,            0.029095,            0.012492,           0.0013731,            0.002575,            0.002575,            0.002575
